benchmark,f_RAG,Genetic GFN,Mol_GA,REINVENT
Albuterol_Similarity,1.451,3.241,3.822,3.311
Amlodipine_MPO,2.218,3.675,3.806,3.645
Celecoxib_Rediscovery,1.584,2.735,2.388,2.667
Deco Hop,2.601,4.333,5.066,3.262
DRD2,1.079,2.605,3.051,2.514
Fexofenadine_MPO,1.837,4.437,4.721,4.193
GSK3B,1.253,4.785,10.0,2.964
Isomers_C7H8N2O2,1.997,3.354,4.721,3.323
Isomers_C9H10N2O2PF2Cl,1.125,4.108,5.314,2.828
JNK3,1.746,4.679,10.0,4.202
Median 1,2.036,4.098,4.516,4.058
Median 2,3.408,3.022,3.861,2.957
Mestranol_Similarity,1.987,4.241,4.78,4.131
Osimertinib_MPO,3.053,3.734,4.293,3.257
Perindopril_MPO,2.153,4.674,4.648,4.146
QED,2.968,3.34,2.501,2.232
Ranolazine_MPO,2.055,3.489,4.422,3.096
Scaffold Hop,3.691,3.513,5.146,3.03
Sitagliptin_MPO,1.627,5.652,5.479,2.912
Thiothixene_Rediscovery,2.866,2.621,2.872,2.444
Troglitazone_Rediscovery,1.631,4.541,3.672,3.255
Valsartan_SMARTS,2.867,3.127,3.53,3.1
Zaleplon_MPO,1.574,2.717,3.296,2.236
